,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10
Clematis_occidentalis,1,1,0,0,0,0,1,1,1,0
Actaea_rubra,1,1,0,1,1,0,1,1,0,0
Hepatica_americana,0,1,1,0,0,0,0,1,0,0
Clematis_virginiana,1,1,0,0,0,1,0,0,0,0
Ranunculus_longirostris,0,1,0,0,1,0,0,1,1,1
Actaea_pachypoda,1,0,0,0,1,1,0,1,1,0
Anemone_quinquefolia,1,0,1,1,1,1,0,0,1,1
Ceanothus_herbaceus,1,1,0,0,1,0,1,1,0,1
Agrimonia_gryosepala,1,0,0,1,1,1,1,1,0,1
Waldsteinia_fragariodes,0,0,0,1,1,0,1,1,0,1
Prunus_serotina,0,0,1,1,0,1,0,0,1,0
Craetegus_douglasii,1,1,1,0,0,0,1,1,0,0
Prunus_virginiana,1,1,1,0,1,0,0,0,0,0
Rubus_alleghaniensis,0,1,1,0,1,0,0,1,0,0
Potentilla_simplex,0,1,1,0,1,0,1,0,1,1
Rubus_pubescens,1,1,0,0,1,0,0,0,1,1
Craetegus_succulenta,0,1,1,1,1,1,1,0,1,1
Potentilla_palustris,1,0,0,1,0,0,0,0,1,1
Sorbus_decora,0,0,0,0,0,0,1,0,0,1
Physocarpus_opulifolius,1,0,1,0,0,0,1,0,0,0
Amelanchier_bartramiana,0,0,1,1,1,1,0,1,1,0
Rubus_canadensis,0,0,0,1,0,1,0,1,1,1
Potentilla_norvegica,0,1,1,1,0,1,0,0,1,0
Potentilla_arguta,0,1,1,0,0,0,1,1,1,0
Amelanchier_arborea,0,0,0,0,0,1,0,1,1,0
Amerlanchier_interior,0,1,1,0,0,1,1,0,1,0
Potentilla_anserina,1,0,0,0,1,0,1,0,1,0
Potentilla_argentea,0,0,1,0,0,1,0,1,0,1
Rubus_parviflorus,1,1,1,1,0,0,0,0,0,0
Potentilla_tridentata,0,0,0,0,0,1,0,1,0,1
Rosa_palustris,0,0,1,1,0,1,1,1,1,1
Rosa_blanda,0,0,1,0,0,0,1,1,0,0
Rosa_acicularis,0,1,1,1,0,0,1,0,1,0
Mitella_nuda,1,1,1,1,1,0,0,0,0,1
Gallium_asprellum,1,1,1,1,1,0,0,1,0,1
Galium_triflorum,0,1,1,1,0,0,0,0,1,0
Mitchella_repens,0,0,1,1,0,0,0,1,1,0
Populus_balsamifera,0,1,1,0,1,0,0,0,0,1
Salix_bebbiana,1,0,1,0,0,0,1,1,1,1
Populus_grandidentata,1,1,0,0,1,1,0,1,0,1
Salix_pedicellaris,0,0,1,0,0,0,1,0,0,0
Salix_discolor,1,1,1,1,1,1,0,1,1,0
Populus_tremuloides,1,1,0,0,1,0,0,1,0,1
Salix_lucida,1,1,1,0,1,1,0,0,1,1
Commandra_umbellata,0,1,1,0,1,1,1,0,1,1
Sarracenia_purpurea,1,1,1,0,1,1,1,0,0,1
Saxifraga_virginiensis,0,1,1,0,0,0,1,1,0,1
Ribes_cynosbati,0,1,0,0,1,0,0,0,1,1
Ribes_oxyacanthoides,1,0,0,1,0,0,1,1,0,0
Veronica_americana,0,1,0,0,1,1,0,1,1,1
Linaria_vulgaris,1,0,1,0,0,1,0,0,0,1
Collinsia_parviflora,0,0,0,0,1,0,0,0,0,0
Veronica_officinalis,1,0,0,0,0,0,0,1,0,0
Melampyrum_lineare,1,1,0,0,1,0,0,1,0,0
Scrophularia_lanceolata,0,1,1,0,1,1,1,1,1,1
Mimulus_ringens,0,1,1,0,0,0,1,0,0,1
Verbascum_thapsus,0,1,1,1,0,0,0,0,0,1
Chelone_glabra,0,0,0,0,0,0,0,0,0,1
Solanum_dulcamera,1,1,0,0,1,0,1,1,1,0
Dirca_palustris,1,0,1,1,1,0,0,1,0,1
Tilia_americana,0,0,1,1,1,0,1,0,1,0
Ulmus_americana,1,1,1,0,0,1,1,0,1,1
Daucus_carota,0,1,1,1,1,1,0,1,1,0
Pastinica_sativa,1,1,1,1,1,1,0,0,1,0
Sanicula_marilandica,1,0,0,1,1,0,0,0,0,0
Cicuta_maculata,0,1,0,1,0,1,1,1,1,1
Cryptotaenia_canadensis,1,0,0,0,0,0,1,0,1,1
Osmorhiza_claytoni,0,0,0,0,0,1,1,0,1,0
Osmorhiza_chilensis,0,1,1,1,1,1,0,1,1,1
Osmorhiza_longistylis,1,0,0,0,1,0,0,0,0,1
Verbana_hastata,1,1,1,1,1,0,1,1,1,1
Viola_canadensis,0,0,0,0,1,0,0,0,0,1
Viola_papilionaceae,1,0,1,1,0,1,0,0,1,0
Viola_pubescens,0,0,1,0,1,1,0,1,1,0
Viola_selkirkii,0,0,1,0,1,0,0,0,0,0
Viola_renifolia,1,1,1,0,1,0,1,1,1,1
Viola_cucullata,0,0,0,1,1,0,0,1,1,0
Viola_adjunca,0,1,0,0,0,1,0,1,1,1
Viola_macloskeyi,0,1,1,0,0,0,0,0,1,0
Viola_conspersa,1,1,1,0,0,0,0,0,1,1
Viola_blanda,1,1,1,0,1,0,0,1,0,0
Parthenocissus_inserta,0,0,1,1,1,1,1,0,1,0
Vitis_riparia,0,1,1,0,1,0,1,0,0,1
